schema,object,kind,domain,classification,operations,runtime_files,support_files,estimated_rows,seq_scans,index_scans
public,profiles,table,profils,utilise par le runtime,DELETE | INSERT | REFERENCE | SELECT | UPDATE,app/api/account/delete/route.ts | app/api/activity/recent/route.ts | app/api/admin/star-academy/[id]/route.ts | app/api/admin/users/route.ts | app/api/ai/quota/route.ts | app/api/artists/route.ts | app/api/artists/simple/route.ts | app/api/auth/count-users/route.ts | app/api/auth/mobile/contact/email/verify/route.ts | app/api/billing/cancel-subscription/route.ts | app/api/billing/confirm-subscription/route.ts | app/api/billing/downgrade-to-free/route.ts | app/api/billing/verify-checkout/route.ts | app/api/billing/webhook/route.ts | app/api/boosters/claim-pack/route.ts | app/api/boosters/open/route.ts | app/api/boosters/route.ts | app/api/city/events/[id]/claim/route.ts | app/api/city/events/[id]/participate/route.ts | app/api/city/events/[id]/resolve/route.ts | app/api/city/route.ts | app/api/city/vote/route.ts | app/api/community/posts/[id]/route.ts | app/api/community/posts/likes/route.ts | app/api/community/posts/replies/route.ts | app/api/discover/moods/route.ts | app/api/media/upload/route.ts | app/api/messages/[conversationId]/[messageId]/reactions/route.ts | app/api/messages/blocks/route.ts | app/api/messages/conversations/route.ts | app/api/messages/requests/route.ts | app/api/meteo/comments/route.ts | app/api/meteo/team/route.ts | app/api/music-clips/[id]/comments/route.ts | app/api/music-clips/route.ts | app/api/music-clips/sources/route.ts | app/api/notifications/boost/route.ts | app/api/playlists/route.ts | app/api/posts/[id]/comments/route.ts | app/api/posts/[id]/route.ts | app/api/posts/route.ts | app/api/recommendations/taste/route.ts | app/api/referral/route.ts | app/api/referral/validate/route.ts | app/api/remixes/[id]/decision/route.ts | app/api/remixes/pending/route.ts | app/api/search/route.ts | app/api/share-card/[id]/route.tsx | app/api/star-academy/apply-staff/route.ts | app/api/stats/community/route.ts | app/api/subscriptions/my-subscription/route.ts | app/api/subscriptions/refresh/route.ts | app/api/subscriptions/usage/route.ts | app/api/suno/generate/route.ts | app/api/suno/upload-cover/route.ts | app/api/tracks/[id]/comments/[commentId]/replies/route.ts | app/api/tracks/[id]/comments/[commentId]/route.ts | app/api/tracks/[id]/comments/moderation/route.ts | app/api/tracks/[id]/comments/route.ts | app/api/tracks/[id]/like/route.ts | app/api/tracks/route.ts | app/api/tracks/simple/route.ts | app/api/upload/route.ts | app/api/user/preferences/route.ts | app/api/users/[username]/follow/route.ts | app/api/users/[username]/route.ts | app/api/users/[username]/save-image/route.ts | app/api/users/[username]/upload/route.ts | app/api/users/[username]/variations/route.ts | app/api/users/by-id/[id]/route.ts | app/api/users/following/route.ts | app/api/users/popular/route.ts | app/api/users/route.ts | app/discover/page.tsx | app/playlists/[id]/opengraph-image.tsx | app/posts/[id]/opengraph-image.tsx | app/profile/[username]/layout.tsx | app/profile/[username]/opengraph-image.tsx | app/sitemap.ts | app/track/[id]/opengraph-image.tsx | app/track/[id]/page.tsx | lib/adminEmailRecipients.ts | lib/communityPosts.ts | lib/localAuth.ts | lib/messaging.ts | lib/mobileAuthSecurity.ts | lib/musicChallenges.ts | lib/musicClips.ts | lib/notifications.ts | lib/recommendation/candidates.ts | lib/recommendation/signals.ts | lib/remixServer.ts,app/api/artists/test/route.ts | scripts/change-valentin-password.js | scripts/check-meteo-user.js | scripts/check-migration-setup.js | scripts/check-playlists-table.js | scripts/check-supabase-users.js | scripts/check-tracks-table.js | scripts/check_profiles_table.js | scripts/compare-migration-status.js | scripts/create-meteo-profile.js | scripts/create-meteo-user.js | scripts/debug-artist-data.js | scripts/debug-mapping.js | scripts/fix-auth-migration.js | scripts/fix-comments-user-ids.js | scripts/fix-migration-final.js | scripts/fix-track-creator-ids-final.js | scripts/fix-track-creator-ids-v2.js | scripts/fix-track-creator-ids-v3.js | scripts/fix-track-creator-ids-with-mapping.js | scripts/fix-track-creator-ids.js | scripts/fix-tracks-table.js | scripts/fix-users-profiles.js | scripts/grant-credits-all-users.js | scripts/grant-credits-by-plan.js | scripts/list-all-users.js | scripts/list-users.js | scripts/migrate-all-data-fixed.js | scripts/migrate-all-data.js | scripts/migrate-complete-100.js | scripts/migrate-complete-final.js | scripts/migrate-final-users.js | scripts/migrate-to-supabase.js | scripts/repair-admin-migration-gaps.js | scripts/set-user-pro.js | scripts/sync-tracks-with-profiles.js | scripts/test-auth-issue.js | scripts/test-comments.js | scripts/test-db-structure.js | scripts/test-supabase-auth.js | scripts/test-supabase-connection.js | scripts/test_replies_api.js | scripts/transfer_uploads_and_delete_user.js | scripts/update-user-name.js,32,2683,1
public,push_subscriptions,table,notifications,utilise par le runtime,DELETE | REFERENCE | SELECT | UPDATE | UPSERT,app/api/admin/notifications/route.ts | app/api/notifications/push/native/route.ts | app/api/notifications/push/send/route.ts | app/api/notifications/push/subscribe/route.ts | app/api/notifications/setup/route.ts | lib/notifications.ts,,15,6,1
public,recommendation_impressions,table,transverse/infrastructure,utilise par le runtime,INSERT | SELECT,app/api/recommendations/impressions/route.ts | lib/recommendation/signals.ts,,3919,4,36
public,referrals,table,abonnements,utilise par le runtime,INSERT | SELECT,app/api/referral/route.ts,,-1,4,0
public,star_academy_applications,table,Star Academy,utilise par le runtime,INSERT | SELECT | UPDATE,app/api/admin/star-academy/[id]/route.ts | app/api/admin/star-academy/route.ts | app/api/star-academy/apply/route.ts | app/api/star-academy/status/route.ts,,12,4,0
public,star_academy_config,table,Star Academy,utilise par le runtime,SELECT,app/api/media/upload/route.ts | app/api/star-academy/apply-staff/route.ts | app/api/star-academy/apply/route.ts,,3,4,0
public,star_academy_staff_applications,table,Star Academy,utilise par le runtime,INSERT | SELECT | UPDATE,app/api/admin/star-academy/staff/[id]/route.ts | app/api/admin/star-academy/staff/route.ts | app/api/star-academy/apply-staff/route.ts,,3,4,0
public,subscriptions,table,abonnements,utilise par le runtime,DELETE | INSERT | REFERENCE | SELECT | UPDATE,app/api/account/delete/route.ts,scripts/compare-migration-status.js | scripts/migrate-all-data-fixed.js | scripts/migrate-all-data.js | scripts/migrate-complete-final.js | scripts/setup-stripe.js,5,4,0
public,support_tickets,table,transverse/infrastructure,utilise par le runtime,INSERT,app/api/support/route.ts,,-1,4,0
public,synaura_tv_settings,table,transverse/infrastructure,probablement utilise,,,,1,4,0
public,track_events,table,City,utilise par le runtime,INSERT | SELECT,app/api/city/route.ts | app/api/recommendations/impressions/route.ts | app/api/recommendations/taste/route.ts | app/api/stats/all-tracks/route.ts | app/api/stats/debug/route.ts | app/api/stats/overview/route.ts | app/api/stats/timeseries/route.ts | app/api/stats/tracks/route.ts | app/api/tracks/[id]/events/route.ts | app/api/tracks/[id]/like/route.ts | app/api/tracks/rediscover/route.ts | app/api/tracks/rising/route.ts | app/api/tracks/route.ts | lib/recommendation/candidates.ts | lib/recommendation/signals.ts,,44690,4,128
public,track_likes,table,tracks,utilise par le runtime,DELETE | INSERT | REFERENCE | SELECT,app/api/account/delete/route.ts | app/api/city/route.ts | app/api/stats/all-tracks/route.ts | app/api/stats/debug/route.ts | app/api/stats/overview/route.ts | app/api/stats/timeseries/route.ts | app/api/stats/tracks/route.ts | app/api/tracks/[id]/like/route.ts | app/api/tracks/featured/route.ts | app/api/tracks/rediscover/route.ts | app/api/tracks/rising/route.ts | app/api/tracks/route.ts | app/api/tracks/similar/route.ts | app/api/users/[username]/route.ts | lib/discoverData.ts | lib/recommendation/signals.ts,scripts/check_remaining_data.js | scripts/test-supabase-connection.js,75,400,0
public,track_moment_reactions,table,commentaires/reactions,utilise par le runtime,SELECT | UPSERT,app/api/tracks/[id]/reactions/route.ts | lib/recommendation/candidates.ts,,10,27,0
public,track_remixes,table,tracks,utilise par le runtime,SELECT | UPDATE | UPSERT,app/api/remixes/[id]/decision/route.ts | app/api/remixes/pending/route.ts | app/api/users/[username]/variations/route.ts | lib/musicChallenges.ts | lib/remixServer.ts,,-1,4,28
public,track_stats,table,statistiques,utilise par le runtime,SELECT,app/api/tracks/[id]/like/route.ts,,224,26,1
public,track_views,table,statistiques,utilise par le runtime,SELECT | UPSERT,app/api/ai/tags/suggestions/route.ts | app/api/stats/all-tracks/route.ts | app/api/stats/audience/route.ts | app/api/stats/debug/route.ts | app/api/stats/heatmap/route.ts | app/api/stats/overview/route.ts | app/api/stats/timeseries/route.ts | app/api/stats/tracks/route.ts | app/api/tracks/[id]/plays/route.ts,,4464,4,1
public,track_waveforms,table,tracks,utilise par le runtime,SELECT | UPSERT,app/api/share-card/[id]/route.tsx | app/api/tracks/[id]/waveform/route.ts,,160,20,0
public,tracks,table,tracks,utilise par le runtime,DELETE | INSERT | REFERENCE | SELECT | UPDATE,app/api/account/delete/route.ts | app/api/activity/recent/route.ts | app/api/admin/editorial-collections/[id]/tracks/route.ts | app/api/admin/migrate-albums/route.ts | app/api/admin/tracks/fix-covers/route.ts | app/api/ai/tags/suggestions/route.ts | app/api/artists/route.ts | app/api/boosters/use/route.ts | app/api/city/events/[id]/participate/route.ts | app/api/city/events/[id]/resolve/route.ts | app/api/city/route.ts | app/api/community/posts/[id]/route.ts | app/api/genres/route.ts | app/api/mobile/discover/route.ts | app/api/music-clips/sources/route.ts | app/api/playlists/[id]/tracks/route.ts | app/api/posts/[id]/route.ts | app/api/posts/route.ts | app/api/recommendations/feed/route.ts | app/api/recommendations/mixed/route.ts | app/api/remixes/pending/route.ts | app/api/remixes/sources/route.ts | app/api/search/route.ts | app/api/share-card/[id]/route.tsx | app/api/stats/all-tracks/route.ts | app/api/stats/audience/route.ts | app/api/stats/community/route.ts | app/api/stats/debug/route.ts | app/api/stats/heatmap/route.ts | app/api/stats/overview/route.ts | app/api/stats/posts/route.ts | app/api/stats/timeseries/route.ts | app/api/stats/tracks/route.ts | app/api/subscriptions/usage/route.ts | app/api/tracks/[id]/comments/[commentId]/moderation/route.ts | app/api/tracks/[id]/comments/moderation/route.ts | app/api/tracks/[id]/comments/route.ts | app/api/tracks/[id]/creator-check/route.ts | app/api/tracks/[id]/featured/route.ts | app/api/tracks/[id]/like/route.ts | app/api/tracks/[id]/plays/route.ts | app/api/tracks/[id]/reactions/route.ts | app/api/tracks/[id]/route.ts | app/api/tracks/[id]/waveform/route.ts | app/api/tracks/by-ids/route.ts | app/api/tracks/featured/route.ts | app/api/tracks/most-liked/route.ts | app/api/tracks/rediscover/route.ts | app/api/tracks/rising/route.ts | app/api/tracks/route.ts | app/api/tracks/similar/route.ts | app/api/tracks/simple/route.ts | app/api/upload/route.ts | app/api/users/[username]/route.ts | app/api/users/[username]/upload/route.ts | app/api/users/tracks/route.ts | app/discover/page.tsx | app/embed/[trackId]/page.tsx | app/posts/[id]/opengraph-image.tsx | app/profile/[username]/opengraph-image.tsx | app/search/page.tsx | app/sitemap.ts | app/stats/page.tsx | app/track/[id]/opengraph-image.tsx | app/track/[id]/page.tsx | components/SubscriptionLimits.tsx | components/SubscriptionPlans.tsx | lib/communityPosts.ts | lib/discoverData.ts | lib/musicChallenges.ts | lib/musicClips.ts | lib/publicTracks.ts | lib/recommendation/candidates.ts | lib/recommendation/signals.ts | lib/remixServer.ts,app/api/artists/test/route.ts | scripts/add_lyrics_column.js | scripts/check-migration-setup.js | scripts/check-mongodb-tracks.js | scripts/check-rls-policies.js | scripts/check-tracks-table.js | scripts/check-trending-data.js | scripts/check_lyrics_db.js | scripts/check_remaining_data.js | scripts/compare-migration-status.js | scripts/debug-artist-data.js | scripts/debug-mapping.js | scripts/debug-mongo-structure.js | scripts/debug-mongodb-track.js | scripts/delete_test_user.js | scripts/fix-migration-final.js | scripts/fix-track-creator-ids-final.js | scripts/fix-track-creator-ids-v2.js | scripts/fix-track-creator-ids-v3.js | scripts/fix-track-creator-ids-with-mapping.js | scripts/fix-track-creator-ids.js | scripts/fix-tracks-table.js | scripts/fix-user-tracks.js | scripts/migrate-all-data-fixed.js | scripts/migrate-complete-100.js | scripts/migrate-complete-final.js | scripts/migrate-data-only.js | scripts/migrate-to-supabase.js | scripts/sync-tracks-with-profiles.js | scripts/test-db-structure.js | scripts/test-profile-features.js | scripts/test-supabase-connection.js | scripts/test-supabase-upload.js | scripts/transfer_uploads_and_delete_user.js,232,380,120
public,user_blocks,table,messaging,utilise par le runtime,DELETE | SELECT | UPSERT,app/api/messages/blocks/route.ts | app/api/messages/conversations/route.ts | lib/messaging.ts,,-1,4,1
public,user_booster_daily,table,Boosters,utilise par le runtime,SELECT | UPSERT,app/api/boosters/open/route.ts | app/api/boosters/route.ts | app/api/notifications/boost/route.ts,,6,126,0
public,user_booster_open_history,table,Boosters,utilise par le runtime,INSERT | SELECT,app/api/boosters/claim-pack/route.ts | app/api/boosters/history/route.ts | app/api/boosters/open/route.ts | app/api/daily-spin/route.ts | app/api/missions/claim-many/route.ts | app/api/missions/claim/route.ts,,105,4,0
public,user_booster_pack_claims,table,Boosters,utilise par le runtime,SELECT | UPSERT,app/api/boosters/claim-pack/route.ts | app/api/boosters/route.ts,,9,5,0
public,user_booster_pity,table,Boosters,utilise par le runtime,SELECT | UPSERT,app/api/boosters/open/route.ts | app/api/boosters/route.ts,,3,5,0
public,user_boosters,table,Boosters,utilise par le runtime,INSERT | SELECT | UPDATE,app/api/boosters/claim-pack/route.ts | app/api/boosters/open/route.ts | app/api/boosters/route.ts | app/api/boosters/use/route.ts | app/api/daily-spin/route.ts | app/api/missions/claim-many/route.ts | app/api/missions/claim/route.ts,,141,5,0
public,user_daily_spin,table,profils,utilise par le runtime,SELECT | UPSERT,app/api/daily-spin/route.ts | app/api/notifications/boost/route.ts,,-1,4,121
public,user_daily_spin_history,table,profils,utilise par le runtime,INSERT,app/api/daily-spin/route.ts,,-1,4,0
public,user_follows,table,follows,utilise par le runtime,DELETE | INSERT | REFERENCE | SELECT,app/api/account/delete/route.ts | app/api/city/route.ts | app/api/messages/requests/route.ts | app/api/posts/route.ts | app/api/ranking/feed/route.ts | app/api/stats/debug/route.ts | app/api/stats/overview/route.ts | app/api/upload/route.ts | app/api/users/[username]/follow/route.ts | app/api/users/[username]/route.ts | app/api/users/following/route.ts | lib/musicClips.ts | lib/recommendation/signals.ts | lib/remixServer.ts,scripts/check_remaining_data.js | scripts/test-supabase-connection.js,32,78,0
public,user_missions,table,profils,utilise par le runtime,INSERT | SELECT | UPDATE,app/api/missions/claim-many/route.ts | app/api/missions/claim/route.ts | app/api/missions/route.ts | lib/missions/progress.ts,,38,4,0
public,user_quotas,table,IA,utilise par le runtime,REFERENCE | SELECT | UPDATE,lib/aiGenerationService.ts,scripts/reset_ai_quota.js | scripts/reset_ai_quota_and_generations.js | scripts/run-ai-complete-migration.js,2,4,0
public,users,table,profils,utilise par le runtime,DELETE | INSERT | REFERENCE | SELECT,app/api/admin/emails/route.ts | lib/mobileAuthSecurity.ts,scripts/check-supabase-users.js | scripts/check-user-sync.js | scripts/check_remaining_data.js | scripts/check_user_structure.js | scripts/compare-migration-status.js | scripts/create-test-users.js | scripts/create-users-simple.js | scripts/debug-mapping.js | scripts/delete_test_user.js | scripts/fix-auth-migration.js | scripts/fix-migration-final.js | scripts/fix-track-creator-ids-final.js | scripts/fix-track-creator-ids-v2.js | scripts/fix-track-creator-ids-v3.js | scripts/fix-track-creator-ids-with-mapping.js | scripts/fix-users-profiles.js | scripts/migrate-all-data-fixed.js | scripts/migrate-all-data.js | scripts/migrate-complete-100.js | scripts/migrate-complete-final.js | scripts/migrate-final-users.js | scripts/migrate-to-supabase.js | scripts/run-ai-migration.js | scripts/run-users-migration.js | scripts/test-ai-system.js | scripts/test-follow-system.js | scripts/test-messages-api.js | scripts/test-profiles.js,4,5,0
public,waiting_list,table,transverse/infrastructure,probablement utilise,,,,-1,4,0
public,track_stats_daily,view,statistiques,legacy sans reference retrouvee,,,,-1,,
public,track_stats_rolling_30d,view,City,utilise par le runtime,SELECT,app/api/city/route.ts | lib/recommendation/candidates.ts,,-1,,
public,track_traffic_sources_30d,view,tracks,legacy sans reference retrouvee,,,,-1,,
realtime,user_defined_filter,composite_type,profils,infrastructure/auth,,,,-1,,
realtime,wal_column,composite_type,transverse/infrastructure,infrastructure/auth,,,,-1,,
realtime,wal_rls,composite_type,transverse/infrastructure,infrastructure/auth,,,,-1,,
realtime,messages,partitioned_table,messaging,infrastructure/auth,REFERENCE,app/api/account/delete/route.ts | app/api/messages/[conversationId]/[messageId]/reactions/route.ts | app/api/messages/[conversationId]/[messageId]/route.ts | app/api/messages/[conversationId]/rooms/[roomId]/route.ts | app/api/messages/[conversationId]/route.ts | app/api/messages/[conversationId]/seen/route.ts | app/api/messages/conversations/route.ts | app/api/messages/unread/route.ts | lib/messaging.ts,scripts/check-supabase-messaging.js | scripts/check-table-structure.js | scripts/check_remaining_data.js | scripts/clean-and-rebuild-messaging.js | scripts/compare-migration-status.js | scripts/fix-migration-final.js | scripts/fix-users-profiles.js | scripts/migrate-all-data-fixed.js | scripts/migrate-all-data.js | scripts/migrate-complete-100.js | scripts/migrate-complete-final.js | scripts/migrate-messaging-to-supabase.js | scripts/migrate-to-supabase.js | scripts/test-follow-system.js | scripts/test-messages-api.js | scripts/test-supabase-connection.js,-1,0,0
realtime,subscription_id_seq,sequence,abonnements,infrastructure/auth,,,,1,,
realtime,messages_2026_07_31,table,messaging,infrastructure/auth,,,,-1,4,0
realtime,messages_2026_08_01,table,messaging,infrastructure/auth,,,,-1,4,0
realtime,messages_2026_08_02,table,messaging,infrastructure/auth,,,,-1,4,0
realtime,messages_2026_08_03,table,messaging,infrastructure/auth,,,,-1,4,0
realtime,messages_2026_08_04,table,messaging,infrastructure/auth,,,,-1,4,0
realtime,messages_2026_08_05,table,messaging,infrastructure/auth,,,,-1,4,0
realtime,messages_2026_08_06,table,messaging,infrastructure/auth,,,,-1,4,0
realtime,schema_migrations,table,transverse/infrastructure,infrastructure/auth,,,,81,4,0
realtime,subscription,table,abonnements,infrastructure/auth,REFERENCE,app/api/billing/create-subscription/route.ts | app/api/billing/verify-checkout/route.ts | components/SubscriptionLimits.tsx | lib/postCategorization.ts,scripts/fix-user-subscription.js,-1,4,0
storage,buckets,table,transverse/infrastructure,infrastructure/auth,,,,2,4,0
storage,buckets_analytics,table,transverse/infrastructure,infrastructure/auth,,,,-1,4,0
storage,buckets_vectors,table,transverse/infrastructure,infrastructure/auth,,,,-1,4,0
storage,migrations,table,transverse/infrastructure,infrastructure/auth,,,,61,4,0
storage,objects,table,transverse/infrastructure,infrastructure/auth,,,,79,4,0
storage,s3_multipart_uploads,table,transverse/infrastructure,infrastructure/auth,,,,-1,4,0
storage,s3_multipart_uploads_parts,table,transverse/infrastructure,infrastructure/auth,,,,-1,4,0
storage,vector_indexes,table,transverse/infrastructure,infrastructure/auth,,,,-1,4,0
supabase_migrations,schema_migrations,table,transverse/infrastructure,infrastructure/auth,,,,16,8,0
auth,email,function,transverse/infrastructure,infrastructure/auth,,,,,,
auth,jwt,function,transverse/infrastructure,infrastructure/auth,,,,,,
auth,role,function,transverse/infrastructure,infrastructure/auth,,,,,,
auth,uid,function,transverse/infrastructure,infrastructure/auth,REFERENCE,,scripts/create-ai-generations-simple.js | scripts/run-ai-migration.js,,,
extensions,armor,function,transverse/infrastructure,infrastructure/auth,,,,,,
extensions,armor,function,transverse/infrastructure,infrastructure/auth,,,,,,
extensions,crypt,function,transverse/infrastructure,infrastructure/auth,,,,,,
extensions,dearmor,function,transverse/infrastructure,infrastructure/auth,,,,,,
extensions,decrypt,function,transverse/infrastructure,infrastructure/auth,,,,,,
extensions,decrypt_iv,function,transverse/infrastructure,infrastructure/auth,,,,,,
extensions,digest,function,transverse/infrastructure,infrastructure/auth,,,,,,
extensions,digest,function,transverse/infrastructure,infrastructure/auth,,,,,,
extensions,encrypt,function,transverse/infrastructure,infrastructure/auth,,,,,,
extensions,encrypt_iv,function,transverse/infrastructure,infrastructure/auth,,,,,,
extensions,gen_random_bytes,function,transverse/infrastructure,infrastructure/auth,,,,,,
extensions,gen_random_uuid,function,transverse/infrastructure,infrastructure/auth,,,,,,
extensions,gen_salt,function,transverse/infrastructure,infrastructure/auth,,,,,,
extensions,gen_salt,function,transverse/infrastructure,infrastructure/auth,,,,,,
extensions,grant_pg_cron_access,function,transverse/infrastructure,infrastructure/auth,,,,,,
extensions,grant_pg_graphql_access,function,transverse/infrastructure,infrastructure/auth,,,,,,
extensions,grant_pg_net_access,function,transverse/infrastructure,infrastructure/auth,,,,,,
extensions,hmac,function,transverse/infrastructure,infrastructure/auth,,,,,,
extensions,hmac,function,transverse/infrastructure,infrastructure/auth,,,,,,
extensions,pg_stat_statements,function,statistiques,infrastructure/auth,,,,,,
extensions,pg_stat_statements_info,function,statistiques,infrastructure/auth,,,,,,
extensions,pg_stat_statements_reset,function,statistiques,infrastructure/auth,,,,,,
extensions,pgp_armor_headers,function,transverse/infrastructure,infrastructure/auth,,,,,,
extensions,pgp_key_id,function,transverse/infrastructure,infrastructure/auth,,,,,,
extensions,pgp_pub_decrypt,function,transverse/infrastructure,infrastructure/auth,,,,,,
extensions,pgp_pub_decrypt,function,transverse/infrastructure,infrastructure/auth,,,,,,
extensions,pgp_pub_decrypt,function,transverse/infrastructure,infrastructure/auth,,,,,,
extensions,pgp_pub_decrypt_bytea,function,transverse/infrastructure,infrastructure/auth,,,,,,
extensions,pgp_pub_decrypt_bytea,function,transverse/infrastructure,infrastructure/auth,,,,,,
extensions,pgp_pub_decrypt_bytea,function,transverse/infrastructure,infrastructure/auth,,,,,,
extensions,pgp_pub_encrypt,function,transverse/infrastructure,infrastructure/auth,,,,,,
extensions,pgp_pub_encrypt,function,transverse/infrastructure,infrastructure/auth,,,,,,
extensions,pgp_pub_encrypt_bytea,function,transverse/infrastructure,infrastructure/auth,,,,,,
extensions,pgp_pub_encrypt_bytea,function,transverse/infrastructure,infrastructure/auth,,,,,,
extensions,pgp_sym_decrypt,function,transverse/infrastructure,infrastructure/auth,,,,,,
extensions,pgp_sym_decrypt,function,transverse/infrastructure,infrastructure/auth,,,,,,
extensions,pgp_sym_decrypt_bytea,function,transverse/infrastructure,infrastructure/auth,,,,,,
extensions,pgp_sym_decrypt_bytea,function,transverse/infrastructure,infrastructure/auth,,,,,,
extensions,pgp_sym_encrypt,function,transverse/infrastructure,infrastructure/auth,,,,,,
extensions,pgp_sym_encrypt,function,transverse/infrastructure,infrastructure/auth,,,,,,
extensions,pgp_sym_encrypt_bytea,function,transverse/infrastructure,infrastructure/auth,,,,,,
extensions,pgp_sym_encrypt_bytea,function,transverse/infrastructure,infrastructure/auth,,,,,,
extensions,pgrst_ddl_watch,function,transverse/infrastructure,infrastructure/auth,,,,,,
extensions,pgrst_drop_watch,function,transverse/infrastructure,infrastructure/auth,,,,,,
extensions,set_graphql_placeholder,function,transverse/infrastructure,infrastructure/auth,,,,,,
extensions,uuid_generate_v1,function,transverse/infrastructure,infrastructure/auth,,,,,,
extensions,uuid_generate_v1mc,function,transverse/infrastructure,infrastructure/auth,,,,,,
extensions,uuid_generate_v3,function,transverse/infrastructure,infrastructure/auth,,,,,,
extensions,uuid_generate_v4,function,transverse/infrastructure,infrastructure/auth,,,,,,
extensions,uuid_generate_v5,function,transverse/infrastructure,infrastructure/auth,,,,,,
extensions,uuid_nil,function,transverse/infrastructure,infrastructure/auth,,,,,,
extensions,uuid_ns_dns,function,transverse/infrastructure,infrastructure/auth,,,,,,
extensions,uuid_ns_oid,function,transverse/infrastructure,infrastructure/auth,,,,,,
extensions,uuid_ns_url,function,transverse/infrastructure,infrastructure/auth,,,,,,
extensions,uuid_ns_x500,function,transverse/infrastructure,infrastructure/auth,,,,,,
graphql_public,graphql,function,transverse/infrastructure,infrastructure/auth,,,,,,
pgbouncer,get_auth,function,auth,infrastructure/auth,,,,,,
public,_ensure_track_stats,function,statistiques,inconnu,,,,,,
public,ai_add_credits,function,IA,utilise par le runtime,RPC,app/api/billing/credits/verify/route.ts | app/api/billing/webhook/route.ts | app/api/daily-spin/route.ts | app/api/referral/route.ts | app/api/suno/generate-music-video/route.ts | app/api/suno/generate/route.ts | app/api/suno/upload-cover/route.ts,scripts/grant-credits-all-users.js | scripts/grant-credits-by-plan.js | scripts/set-user-pro.js,,,
public,ai_add_credits,function,IA,utilise par le runtime,RPC,app/api/billing/credits/verify/route.ts | app/api/billing/webhook/route.ts | app/api/daily-spin/route.ts | app/api/referral/route.ts | app/api/suno/generate-music-video/route.ts | app/api/suno/generate/route.ts | app/api/suno/upload-cover/route.ts,scripts/grant-credits-all-users.js | scripts/grant-credits-by-plan.js | scripts/set-user-pro.js,,,
public,ai_debit_credits,function,IA,utilise par le runtime,RPC,app/api/suno/generate-music-video/route.ts | app/api/suno/generate/route.ts | app/api/suno/upload-cover/route.ts,,,,
public,ai_debit_credits,function,IA,utilise par le runtime,RPC,app/api/suno/generate-music-video/route.ts | app/api/suno/generate/route.ts | app/api/suno/upload-cover/route.ts,,,,
public,ai_grant_monthly_plan_credits,function,IA,legacy mais encore reference,REFERENCE,,scripts/grant-credits-by-plan.js,,,
public,ai_grant_welcome_credits,function,IA,inconnu,,,,,,
public,auto_generate_referral_code,function,abonnements,inconnu,,,,,,
public,check_user_quota,function,IA,inconnu,,,,,,
public,get_active_members_count,function,transverse/infrastructure,legacy mais encore reference,RPC,,scripts/create_active_members_function.js,,,
public,get_monthly_generations_count,function,IA,inconnu,,,,,,
public,get_user_ai_stats,function,IA,utilise par le runtime,RPC,lib/aiGenerationService.ts,,,,
public,get_user_quota_remaining,function,IA,utilise par le runtime,RPC,lib/aiGenerationService.ts,,,,
public,get_user_stats,function,statistiques,legacy mais encore reference,RPC,,scripts/test-supabase-connection.js,,,
public,gin_extract_query_trgm,function,transverse/infrastructure,inconnu,,,,,,
public,gin_extract_value_trgm,function,transverse/infrastructure,inconnu,,,,,,
public,gin_trgm_consistent,function,transverse/infrastructure,inconnu,,,,,,
public,gin_trgm_triconsistent,function,transverse/infrastructure,inconnu,,,,,,
public,gtrgm_compress,function,transverse/infrastructure,inconnu,,,,,,
public,gtrgm_consistent,function,transverse/infrastructure,inconnu,,,,,,
public,gtrgm_decompress,function,transverse/infrastructure,inconnu,,,,,,
public,gtrgm_distance,function,transverse/infrastructure,inconnu,,,,,,
public,gtrgm_in,function,transverse/infrastructure,inconnu,,,,,,
public,gtrgm_options,function,transverse/infrastructure,inconnu,,,,,,
public,gtrgm_out,function,transverse/infrastructure,inconnu,,,,,,
public,gtrgm_penalty,function,transverse/infrastructure,inconnu,,,,,,
public,gtrgm_picksplit,function,transverse/infrastructure,inconnu,,,,,,
public,gtrgm_same,function,transverse/infrastructure,inconnu,,,,,,
public,gtrgm_union,function,transverse/infrastructure,inconnu,,,,,,
public,increment_ai_usage,function,IA,utilise par le runtime,RPC,lib/aiGenerationService.ts,,,,
public,move_profile_email_to_private,function,profils,inconnu,,,,,,
public,record_track_view,function,statistiques,inconnu,,,,,,
public,require_city_battle_winner_vote,function,City,inconnu,,,,,,
public,search_tracks,function,tracks,legacy mais encore reference,RPC,,scripts/test-supabase-connection.js,,,
public,set_city_updated_at,function,City,inconnu,,,,,,
public,set_limit,function,transverse/infrastructure,inconnu,,,,,,
public,set_updated_at,function,transverse/infrastructure,inconnu,,,,,,
public,show_limit,function,transverse/infrastructure,inconnu,,,,,,
public,show_trgm,function,transverse/infrastructure,inconnu,,,,,,
public,similarity,function,transverse/infrastructure,inconnu,,,,,,
public,similarity_dist,function,transverse/infrastructure,inconnu,,,,,,
public,similarity_op,function,transverse/infrastructure,inconnu,,,,,,
public,strict_word_similarity,function,transverse/infrastructure,inconnu,,,,,,
public,strict_word_similarity_commutator_op,function,transverse/infrastructure,inconnu,,,,,,
public,strict_word_similarity_dist_commutator_op,function,transverse/infrastructure,inconnu,,,,,,
public,strict_word_similarity_dist_op,function,transverse/infrastructure,inconnu,,,,,,
